Student,LPIPS,SSIM
113AB0018.png,0.0,1.0
113590050.png,0.2609306871891022,0.6369066593193164
113590045.png,0.27209171652793884,0.5962908229449241
113590021.png,0.2856137454509735,0.629423485858251
112590040.png,0.28607288002967834,0.618242658784912
113590061.png,0.29481765627861023,0.6272979138327806
113590039.png,0.30518969893455505,0.640646079447675
113590001.png,0.30711251497268677,0.5926504008457639
113590022.png,0.3075639307498932,0.6413641145050634
113370239.png,0.30927973985671997,0.63139751936675
113590044.png,0.31145334243774414,0.5812465981598898
113590052.png,0.31165164709091187,0.5895274875482247
113590023.png,0.3117140829563141,0.5660691473566747
111590062.png,0.3117334544658661,0.5957161977336595
113590051.png,0.3124786615371704,0.652835362986351
113590028.png,0.3193362355232239,0.5662550892064576
113590015.png,0.32449638843536377,0.5818227681383233
113590059.png,0.3252030909061432,0.5355934062892552
112590454.png,0.32594236731529236,0.582876804407179
113590056.png,0.3261845111846924,0.5868643832018056
113AC1012.png,0.332706093788147,0.5993610570162166
112590455.png,0.34226930141448975,0.6030568795724556
113590018.png,0.3433293402194977,0.5694536705473082
111590047.png,0.343819797039032,0.6263616172431367
113590003.png,0.3549409508705139,0.5961324084506882
113590031.png,0.35849592089653015,0.6098927356021424
113590026.png,0.3632027804851532,0.6154739850471186
113590049.png,0.37547850608825684,0.5289307262500462
113590060.png,0.3783274292945862,0.6366395142801883
113590002.png,0.38320010900497437,0.5827183482797328
113590062.png,0.3844640552997589,0.5603596218188216
113590036.png,0.3863895535469055,0.5472657031205899
113590011.png,0.392635703086853,0.5337498681660987
113590006.png,0.3946720063686371,0.49856088724982717
110590455.png,0.4048527479171753,0.5899466010762221
111590028.png,0.4054771065711975,0.6123915488124633
114054809.png,0.41989123821258545,0.5752766681694408
113590057.png,0.4210722744464874,0.5522367713385622
113590047.png,0.44070181250572205,0.6576095306055746
113590004.png,0.44285860657691956,0.6528076047223695
113590008.png,0.4436277747154236,0.477197097289507
113590042.png,0.45138296484947205,0.5247253202658477
112590058.jpg,0.46220362186431885,0.42493663496489065
113590010.png,0.46997612714767456,0.5425716350119141
113590043.png,0.4727434515953064,0.6602853883576925
113590025.png,0.4773528575897217,0.673899061843693
111590042.png,0.4982064962387085,0.670279170604144
111590455.png,0.5218735337257385,0.468528658374212
